Month,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad
Aug-21,73600,43680,108200,45280,71800,45700,,,,,,
Sep-21,72900,42980,105500,38700,71100,38700,,,,164.5,,46.66666667
Oct-21,72300,42380,102900,43980,70500,44400,,,,132,,38
Nov-21,71750,41830,37550,37550,69950,37550,,,163.375,160.75,,45.66666667
Dec-21,71700,41780,98300,43380,69900,37500,,,151.875,145.75,,
Jan-22,71900,41980,96500,37700,70100,44000,,,,142,,43.33333333
Feb-22,72700,42780,95300,44380,70900,38500,,,,167,,36.66666667
Mar-22,72900,42980,103500,38700,38700,45000,,,,142,,43.33333333
Apr-22,73500,43580,39300,45180,71700,39300,,,160.5,162,27.5,38
May-22,74300,44380,112900,40100,72500,40100,,,184,127,,
Jun-22,75000,45080,109600,46680,73200,47100,,,,164.5,,46.66666667
Jul-22,74700,44780,40500,40500,72900,40500,,,172.75,154.5,,44
